,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
prob[278],0.1572029081,0.065035416,0.0417634747,0.2771208579,0.0003512105,0.0002634068,35963.1608142222,30663.8946928449,1.0000197798
prob[279],0.1981768773,0.0707687818,0.0719569764,0.3314960079,0.0003806549,0.0002834105,35405.010673966,29678.3490939371,1.0000219998
prob[280],0.9825301189,0.0147055886,0.9560249855,0.9995575121,7.05113e-05,4.98593e-05,59774.3444174552,38334.6176023113,1.000157018
prob[281],0.3616342886,0.0660277495,0.2359707165,0.4811629836,0.0003475933,0.0002513304,35237.652201968,30072.1397965218,1.0000224163
prob[282],0.442297597,0.0757884541,0.298009658,0.5797211778,0.0003855215,0.000276315,37909.7604542811,34113.7392228224,1.0000066396
prob[283],0.8010434124,0.0550715357,0.6977735902,0.9034248716,0.0002128527,0.0001505102,69154.157924892,37424.2293215695,1.000057176
prob[284],0.2136819083,0.0492478257,0.1209767471,0.3042634885,0.0002466002,0.0001826657,40824.3830726468,32777.848743376,1.0000213012
prob[285],0.1509814335,0.049076333,0.0609134273,0.2405843402,0.0002470987,0.0001857106,41544.2326020807,33651.1339520896,1.0000209525
prob[286],0.8356499199,0.0514773618,0.7353449384,0.9260726928,0.0001989938,0.0001407105,70365.002160972,38123.7740661788,1.000077709
prob[287],0.8649711107,0.0476239872,0.7774232255,0.9517500797,0.0001862431,0.0001316943,70283.9212299338,38240.8482932053,1.0000869534
prob[288],0.9774290557,0.0174374868,0.9455398977,0.9989885002,8.19479e-05,5.79463e-05,60749.0636237063,38383.324159721,1.0001555428
prob[289],0.8938968039,0.0427949692,0.8142403085,0.9684619319,0.0001712119,0.0001210657,69236.8999115816,39041.1221720849,1.0000771817
prob[290],0.936481799,0.0328705866,0.8749216633,0.9882556236,0.0001393558,9.854e-05,65972.1706132216,38756.7469709212,1.0001268703
prob[291],0.3052485775,0.07754725,0.1569700417,0.444145758,0.0004114572,0.0003008049,35048.0822668037,29723.2425191783,1.0000222248
prob[292],0.3616342886,0.0660277495,0.2359707165,0.4811629836,0.0003475933,0.0002513304,35237.652201968,30072.1397965218,1.0000224163
prob[293],0.9594900829,0.0260569311,0.9118907182,0.9964916391,0.0001301332,9.20187e-05,47624.7686774102,36067.9582615971,1.0000758753
prob[294],0.5413214912,0.0540568604,0.4383605888,0.6407870208,0.0002389281,0.0001689487,51305.0931027217,42221.1412026826,1.000034714
prob[295],0.997354351,0.0042903704,0.9907397642,0.9999997985,2.36529e-05,1.67253e-05,48964.2931604815,35099.7511125386,1.0000004033
prob[296],0.8928793536,0.0430027395,0.8130442974,0.9682849852,0.0001951213,0.0001379724,52136.588396984,35671.2628067236,0.9999737845
prob[297],0.997354351,0.0042903704,0.9907397642,0.9999997985,2.36529e-05,1.67253e-05,48964.2931604815,35099.7511125386,1.0000004033
prob[298],0.9407136218,0.0332376444,0.8800366212,0.9929595772,0.0001576262,0.0001114593,51314.6085795202,35394.3016545405,0.9999798001
prob[299],0.9928207121,0.0086718081,0.9778657546,0.9999949386,4.62082e-05,3.26744e-05,50172.2270468307,35225.6113117045,0.9999883069
prob[300],0.3742315515,0.0619339954,0.2575861478,0.4867450409,0.0003053268,0.0002216296,39731.2743452788,32650.9388432338,1.0000484725
prob[301],0.6799016724,0.0355564884,0.6147158405,0.7474114452,0.0001449538,0.0001024983,58852.3396151994,36154.6169504531,1.0000088115
prob[302],0.8101522754,0.0472369453,0.7218854892,0.897549391,0.0002046731,0.0001447265,53821.0338562919,35886.1973254121,0.9999768834
prob[303],0.1170735541,0.0599306511,0.0208504631,0.2293899786,0.0003189021,0.0002449778,39759.6333139288,30484.5939818259,0.9999584698
prob[304],0.9966616273,0.0050194378,0.9886669542,0.9999995283,2.73886e-05,1.93669e-05,49983.2430137191,35309.1283007524,0.9999904954
prob[305],0.5085179182,0.0150528707,0.4787267806,0.534525761,6.69544e-05,4.73442e-05,51007.4109518488,42101.7440965551,1.0000356351
prob[306],0.9897920614,0.0110833418,0.9701881688,0.9999578739,5.8228e-05,4.11738e-05,50282.5758372106,35141.9575783073,0.9999872775
prob[307],0.9954080726,0.0063136472,0.9849653914,0.9999985866,3.41506e-05,2.41483e-05,50054.5131424628,35330.2196101082,0.9999893684
prob[308],0.7449653914,0.0446025315,0.6607262282,0.827647047,0.0002003329,0.0001416576,48964.2931604815,35099.7511125386,0.9999577923
prob[309],0.9963161477,0.0053891951,0.9876318732,0.9999993683,2.93318e-05,2.07409e-05,50004.6252320146,35288.1971883745,0.9999900295
prob[310],0.9672662079,0.023769445,0.9237633425,0.998754197,0.0001173474,8.29777e-05,50829.4982073484,35372.9704514366,0.9999853484
prob[311],0.5904415144,0.0494074325,0.49915145,0.6825048367,0.0002087332,0.000147947,55812.6414127944,40519.702900067,1.0000347401
prob[312],0.7785476219,0.0619108688,0.6610588659,0.8907430328,0.0002396686,0.0001694721,68479.2258189357,37442.1947430579,1.0000212777
prob[313],0.9818145348,0.0163708998,0.9520401835,0.9997382864,8.36422e-05,5.91444e-05,50508.339803919,35141.4499517711,0.9999870984
prob[314],0.9942642574,0.0073991164,0.9817572441,0.9999976859,3.97408e-05,2.81012e-05,50111.1246678901,35246.401686409,0.9999864626
prob[315],0.9941997997,0.0074580739,0.9815817559,0.9999976095,4.00424e-05,2.83145e-05,50113.4519236351,35246.401686409,0.9999864696
