,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
prob[776],0.5734736916,0.0021428524,0.5694334207,0.577470633,1.41241e-05,9.9877e-06,23040.0671283095,20763.5732556799,1.0000360753
prob[777],0.4519778043,0.0026315266,0.4470620369,0.456933289,2.13621e-05,1.51072e-05,15177.7033298417,17196.5296219807,1.0001424437
prob[778],0.5382161279,0.0013222449,0.5357782814,0.5407313095,8.9001e-06,6.2936e-06,22098.9182077555,20955.2212921045,1.000038827
prob[779],0.9796154761,0.0015170432,0.9766903037,0.9823983656,1.09508e-05,7.7435e-06,19312.5779086818,20475.8782766104,0.9999751497
prob[780],0.8072911309,0.0055540348,0.7966263195,0.8174330458,3.5923e-05,2.54017e-05,23927.1914711468,20630.1321323207,1.0000226067
prob[781],0.4235517202,0.0070639466,0.4098330126,0.4364055887,5.64373e-05,3.99204e-05,15664.0760691443,18061.8686214208,1.0001853074
prob[782],0.810953076,0.006116025,0.7997310559,0.8226687792,3.99287e-05,2.82342e-05,23483.0243265681,20572.679720103,1.0000472393
prob[783],0.8146580933,0.0045309934,0.8063585818,0.8234199735,2.9891e-05,2.11364e-05,23007.9686282806,20882.2309827738,0.9999602356
prob[784],0.6341436829,0.002538383,0.6294330686,0.6389626125,1.87182e-05,1.3236e-05,18388.2207009101,19903.412356614,1.0000113885
prob[785],0.4588061869,0.0010535899,0.4568761945,0.4608221316,8.4728e-06,5.9915e-06,15463.1560485547,17249.3239127703,1.0000738145
prob[786],0.6464830012,0.0086459065,0.6296383212,0.6621919301,6.21094e-05,4.39284e-05,19371.8309637149,19867.0614905407,1.0000621112
prob[787],0.8742944856,0.0047135194,0.865309594,0.8830064464,3.04455e-05,2.15285e-05,24000.4866450357,21266.0043833484,0.9999839492
prob[788],0.1894927678,0.0053550437,0.1798058175,0.1998532206,4.26088e-05,3.01497e-05,15810.049821366,17494.6279407285,1.0000274842
prob[789],0.5316722673,0.0034071588,0.525347843,0.5381521442,2.52765e-05,1.78759e-05,18173.6737609594,19307.0097666747,1.0000891817
prob[790],0.5577295832,0.0019665565,0.5540885098,0.561456149,1.32132e-05,9.3435e-06,22177.4329370444,20943.6121047908,1.0000424931
prob[791],0.9936487874,0.0006270253,0.992475455,0.9948260882,4.3064e-06,3.0451e-06,21371.9930619973,20565.7578062436,0.9999499066
prob[792],0.7334208671,0.0038886503,0.7260884198,0.7407348514,2.81915e-05,1.99347e-05,19055.6949288807,20409.3296848968,0.9999904129
prob[793],0.2386804842,0.0059230724,0.2279034819,0.2500954932,4.808e-05,3.40168e-05,15187.7122073409,17326.9609375368,1.0000999473
prob[794],0.4205733952,0.002577716,0.4158643301,0.4255183529,2.10675e-05,1.4899e-05,14974.9793998097,17112.1076077586,1.0000770439
prob[795],0.5958523792,0.002295793,0.591539402,0.6001274614,1.48337e-05,1.04893e-05,23978.510517421,20685.9291824892,1.000007574
prob[796],0.7302847309,0.0038447096,0.7231087547,0.7376044866,2.76646e-05,1.95621e-05,19332.9257618435,20475.8453068363,0.9999748246
prob[797],0.9991877516,0.0001181668,0.998959879,0.9993973519,8.94e-07,6.321e-07,17701.1318940335,19475.5857513436,1.0000107124
prob[798],0.9107905491,0.0038181439,0.90356225,0.9178735288,2.86187e-05,2.02368e-05,17862.6705116356,19529.9995150216,1.0000273347
prob[799],0.4497998253,0.0011341008,0.4476722284,0.4519254986,8.906e-06,6.298e-06,16216.7905168698,18121.1477557145,1.0000041136
prob[800],0.9928956547,0.000684167,0.9916359395,0.9942067507,4.9422e-06,3.4947e-06,19327.2085793867,20475.8453068363,0.9999754753
prob[801],0.6823962463,0.0043254652,0.6742936153,0.6904777835,2.80894e-05,1.9863e-05,23736.414805364,20652.3531361143,1.000051102
